PaperTitle,Year,Journal,FirstAuthorName,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,FemaleParticipantsNumber,MaleParticipantsNumber,,SampleOtherDescription,SampleMusicianshipDescription,SamplingMethodDescription,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
Correspondence in Perception of the Tritone Paradox and Perfect-Fifth/Perfect-Fourth Intervals,2013,Music Perception,"Ragozzine, Frank",US,US,US,NA,5,21.4,NA,2,3,,undergraduate students,NA,course credit; paid,NA,artificial,NA,experimenter-created,NA,Lizzy,"tritone paradox, perfect fifth, perfect fourth, proximity, octave related complex"
Correspondence in Perception of the Tritone Paradox and Perfect-Fifth/Perfect-Fourth Intervals,2013,Music Perception,"Ragozzine, Frank",US,US,US,NA,25,NA,NA,14,11,,students in psychology courses at university,NA,course credit,NA,artificial,NA,experimenter-created,NA,Lizzy,"tritone paradox, perfect fifth, perfect fourth, proximity, octave related complex"
Relations Between Musical Structures and Perceived and Felt Emotions,2013,Music Perception,"Kawakami, Ai",Japan,Japan,Japan,NA,24,33.8,9.2,12,12,,NA,musicians ,NA,NA,NA,Western,experimenter-created,NA,Lizzy ,"musical emotions, perceived/felt emotions, musical structures, minor-key/dissonant/high-note density music, music experience"
Influence of Expressive Versus Mechanical Musical Performance on Short-term Memory for Musical Excerpts,2013,Music Perception,"Tillmann, Barbara",France,US,US,NA,86,NA,NA,NA,NA,,undergraduate students in psychology courses,musicians,course credit,NA,classical,Western,precomposed,NA,Lizzy,"short-term memory, melodies, binding, expressivity, memory improvement"
"Speech, Song, and the Minor Third: An Acoustic Study of the Stylized Interjection",2013,Music Perception,"Day-O'Connell, Jeremy",US,UK,UK,NA,10,NA,NA,5,5,,"native speakers of Southern British English, recruited from an introductory linguistics course",NA,paid,NA,NA,NA,experimenter-created,Participant age ranges instead of means were reported: 18-20/materials were sentences (not musical material),Lizzy,"music and language, minor third interval, calling contour, speech intonation, universals"
Cortical Activity During Perception of Musical Pitch: Comparing Musicians and Nonmusicians,2013,Music Perception,"Habibi, Assal",US,US,US,NA,40,20.1; 21.7,NA,31,9,,native English speakers,musicians; non-musicians,course credit; paid,NA,classical,Western,experimenter-created,Mean ages given according to musicianship group,Lizzy,"auditory event-related potentials, electroencephalography, pitch perception, music training, pitch deviations"
Failure to Apply Signal Detection Theory to the Montreal Battery of Evaluation of Amusia May Misdiagnose Amusia ,2013,Music Perception,"Henry, Molly J.",US,US,US,NA,155,20.6; 20.4,3.3; 3.3,107,48,,self-reported normal hearing,NA,course credit; paid,15.2;14.5,NA,Western,precomposed,"Mean ages/SD given according to condition; Participants had 4.2;3.9 mean yrs of musical training, but not explicitly stated if they are ""musicians""",Lizzy,"Montreal Battery of Evaluation of Amusia (MBEA); signal detection theory (SDT), amusia, ROC curves, music perception"
The Effect of Microtiming Deviations on the Perception of Groove in Short Rhythms ,2013,Music Perception,"Davies, Matthew",Portugal,Portugal,Portugal,NA,32,29.3,6,13,19,,NA,non-musicians,paid,NA,artificial,Western,experimenter-created,NA,Lizzy,"groove, microtiming, movement, rhythm, listening experiment"
The Effect of Microtiming Deviations on the Perception of Groove in Short Rhythms ,2013,Music Perception,"Davies, Matthew",Portugal,NA,NA,NA,18,38.1,11.5,1,16,,known to authors/targeted specifically for expertise,musicians,volunteer,NA,artificial,Western,experimenter-created,NA,Lizzy,"groove, microtiming, movement, rhythm, listening experiment"
Relationships Between Perceived Emotions in Music and Music-induced Movement ,2013,Music Perception,"Burger, Birgitta",Finland,Finland,Finland,NA,60,24,3.3,43,17,,NA,musicians; non-musicians,paid,NA,techno; pop; rock; latin; funk; jazz,Western,precomposed,NA,Lizzy,"music, music-induced movement, motion capture, emotion, circumplex model of affect"
Relationships Between Perceived Emotions in Music and Music-induced Movement ,2013,Music Perception,"Burger, Birgitta",Finland,Finland,Finland,NA,34,25.7,5.9,17,17,,musicology students; familiar with music and emotions research,NA,NA,NA,techno; pop; rock; latin; funk; jazz,Western,precomposed,NA,Lizzy,"music, music-induced movement, motion capture, emotion, circumplex model of affect"
An Empirical Study of Historical Patterns in Musical Rhythm: Analysis of German & Italian Classical Music Using the nPVI Equation ,2013,Music Perception,"Daniele, Joseph",US,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,classical,Western,precomposed,Corpus study,Lizzy,"musical rhythm, quantitative musicology, nPVI, historical trends, empirical musicology"
Is Higher Music Faster? Pitch–Speed Relationships in Western Compositions,2013,Music Perception,"Broze, Yuri",US,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,classical,Western,precomposed,Corpus study,Lizzy,"musical speed, musical voices, corpus study, pitch height, melody"
Is Higher Music Faster? Pitch–Speed Relationships in Western Compositions,2013,Music Perception,"Broze, Yuri",US,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,classical,Western,precomposed,Corpus study,Lizzy,"musical speed, musical voices, corpus study, pitch height, melody"
Diachronic Changes in Jazz Harmony: A Cognitive Perspective,2013,Music Perception,"Broze, Yuri",US,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,jazz,Western,precomposed,Corpus study,Lizzy,"corpus study, style change, implicit learning, transition possibilities, jazz harmony"
Auditory Streaming Cues in Eighteenth- and Early Nineteenth-Century String Quartets: A Corpus-Based Study,2013,Music Perception,"Duane, Ben",US,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,classical,Western,precomposed,Corpus study,Lizzy,"auditory stream segregation, hierarchical stream segregation, synchrony, pitch comodulation, spectral overlap"
The Use of Large Corpora to Train a New Type of Key-Finding Algorithm: An Improved Treatment of the Minor Mode,2013,Music Perception,"Albrecht, Joshua",US,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,classical,Western,precomposed,Corpus study,Lizzy,"key-finding, algorithm, computational methods, corpus study, minor mode"
Building a Representative Corpus of Classical Music,2013,Music Perception,"London, Justin",US,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,classical,Western,precomposed,Corpus study,Lizzy,"corpus, classical music, common practice period, historical styles, genres"
The Influence of Different Structural Features on Felt Musical Tension in Two Piano Pieces by Mozart and Mendelssohn ,2013,Music Perception,"Lehne, Moritz",Germany,Germany,Germany,NA,28,25.4,NA,16,12,,NA,NA,course credit,NA,classical,Western,precomposed,"some participants had musical experience, but none were specified as musicians or nonmusicians",Lizzy,"musical tension, music-evoked emotion, continuous rating, structural features, loudness"
Development and Trial of a Mobile Experience Sampling Method (m-ESM) for Personal Music Listening ,2013,Music Perception,"Randall, William M.",Australia,Australia,Australia,NA,101,24.45,8.28,63,38,,NA,NA,volunteer,NA,NA,NA,participant,study of everyday music listening- no explicit musical stimuli used,Lizzy,"music, emotion, experience sampling method, mobile phone, application"
Musical Imagery and the Planning of Dynamics and Articulation During Performance ,2013,Music Perception,"Bishop, Laura ",Austria,Australia,Australia,NA,29,33;32.2;28.4,NA,20,9,,"expert pianists; intermediates, novices",musicians,course credit; paid,NA,classical,Western,precomposed,NA,Lizzy,"musical imagery, sensory feedback, expression, planning, musical expertise"
Individual Differences in Music Reward Experiences,2013,Music Perception,"Mas-Herrero, Ernest",Spain,Spain,Spain,NA,804,33.9,10,426,328,,participants living in and around Barcelona,musicians; non-musicians,volunteer,NA,NA,NA,NA,study used a psychometric instrument to study music and reward experiences,Lizzy,"sensitivity to music, sensitivity to reward, individual differenes, musical reward, music processing"
Individual Differences in Music Reward Experiences,2013,Music Perception,"Mas-Herrero, Ernest",Spain,Spain,Spain,NA,605,20.5,3.3,411,194,,"students of biology, chemistry, psychology, and biochemistry",NA,NA,NA,NA,NA,NA,study used a psychometric instrument to study music and reward experiences,Lizzy,"sensitivity to music, sensitivity to reward, individual differenes, musical reward, music processing"
Individual Differences in Music Reward Experiences,2013,Music Perception,"Mas-Herrero, Ernest",Spain,Spain,online (Europe and North America),NA,252,25,5,164,88,,NA,NA,volunteer,NA,NA,NA,NA,study used a psychometric instrument to study music and reward experiences,Lizzy,"sensitivity to music, sensitivity to reward, individual differenes, musical reward, music processing"
Individual Differences in Music Reward Experiences,2013,Music Perception,"Mas-Herrero, Ernest",Spain,Spain,Spain/online,NA,857,NA,NA,575,282,,sample is that of studies 2 and 3 combined,NA,NA,NA,NA,NA,NA,study used a psychometric instrument to study music and reward experiences,Lizzy,"sensitivity to music, sensitivity to reward, individual differenes, musical reward, music processing"
Empathy and Emotional Contagion as a Link Between Recognized and Felt Emotions in Music Listening ,2013,Music Perception,"Egermann, Hauke",Germany,Germany,online,NA,3164,32,12,1329,1835,,NA,musicians; non-musicians,NA,NA,pop; rock; classical; jazz; latin; folk,Western,precomposed,NA,Lizzy,"emotion, music, emotional contagion, empathy, preference"
Loved music can make a listener feel negative emotions,2013,Musicae Scientiae,"Schubert, Emery",Australia,Australia,online,NA,60,22.3,4.6,27,33,,"enrolled in either introductory, undergraduate, or postgraduate music course",NA,course credit,NA,NA,NA,participant,"study reports that some participants had taken music lessons, but does not group by musicianship; stimuli were the participants' own",Lizzy,"aesthetic emotions, cognitive theory, emotion locus, empathy, negative emotion in music, preference"
Affective reactions to musical stimuli reflect emotional use of music in everyday life,2013,Musicae Scientiae,"Saarikallio, Suvi",Finland,Finland,Finland,NA,44,24.05,3.14,25,19,,healthy and normal hearing adults,musicians; non-musicians,NA,NA,pop; rock; classical; jazz; folk; electronic; atonal,Western,participant,stimuli were participants' own,Lizzy,"aesthetic responses, affective responses, emotion, mood regulation, music"
The ongoing life of participant-composed songs within and beyond the clinical setting,2013,Musicae Scientiae,"Baker, Felicity",Australia,Australia; Europe; US,US; Australia,NA,45,NA,NA,32,13,,practicing music therapists,NA,volunteer,NA,NA,NA,NA,study was a qualitative interview study; no musical stimuli were used,Lizzy,"artefacts, clinical decisions, music therapy, songwriting, therapeutic risk"
Orchestra rehearsal strategies: Conductor and performer views,2013,Musicae Scientiae,"Biasutti, Michele",Italy,NA,NA,NA,20,NA,NA,NA,NA,,professional performers of classical music with at least 10 years of orchestral conducting/performing experience; conductors with 10-31 years of professional orchestra experience and degrees from conservatory,musicians,NA,NA,NA,NA,NA,"participant age ranges were reported instead of means: performers (31 to 35), conductors (35-60); study did not use musical stimuli",Lizzy,"conductor, group study, orchestral performer, performance preparation, rehearsal strategy"
Inferring musical structure through bodily gestures,2013,Musicae Scientiae,"MacRitchie, Jennifer",Switzerland,UK,UK,NA,9,NA,NA,NA,NA,,"highly trained pianists; Masters students at the local conservatoire, music students at local universities and highly practised amateurs; at least 10 years performing experience",musicians,paid,NA,classical,Western,precomposed,NA,Lizzy,"embodiment, gesture, musical structure, phrasing, principal components analysis"
Processing musical form: Behavioural and neurocognitive approaches,2013,Musicae Scientiae,"Neuhaus, Christiane",Germany,Germany,Germany,NA,20,25.9,2.29,10,10,,"students of University of Leipzig; 5 subjects played musical instrument, others no musical training",non-musicians,NA,NA,classical,Western,precomposed,some melodies sampled from original compositions were slightly modified according to experimental conditions,Lizzy,"anterior N300, chunking, event-related potentials, musical form, musical phrase, pattern"
"Flow, identity, achievement, satisfaction and ownership during therapeutic songwriting experiences with university students and retirees",2013,Musicae Scientiae,"Baker, Felicity",Australia,Australia,Australia,NA,27,25.46; 75.25,9.2; 4.6,19,8,,university students and retirees,musicians; non-musicians,paid,NA,NA,NA,NA,age means/SD recorded according to group: students; retirees. No stimuli were used; participants completed a songwriting task,Lizzy,"achievement, flow, identity, music therapy, sense of self, songwriting"
Adaptive and maladaptive attraction to negative emotions in music,2013,Musicae Scientiae,"Garrido, Sandra",Australia,Australia,online,NA,152,30.9,14.9,97,55,,"undergraduate music students, students in general music subject, music lovers, depression sufferers",musicians; non-musicians,course credit; volunteer,NA,NA,NA,NA,no music stimuli were used; study was a survey,Lizzy,"absorption, nostalgia, reflectiveness, rumination, sad music"
